song_id,title,genre,mood,tempo,vocal,instrument,year
song1,Sample Song 1,Pop,"happy,energetic",slow,duet,"synth,strings,piano",1980s
song2,Sample Song 2,EDM,romantic,medium,female solo,strings,1990s
song3,Sample Song 3,Jazz,romantic,slow,male solo,"guitar,piano,orchestral",2000s
song4,Sample Song 4,Classical,"dark,chill",fast,male solo,orchestral,2010s
song5,Sample Song 5,Rock,dark,medium,duet,"orchestral,strings",2020s
song6,Sample Song 6,EDM,"dark,romantic",fast,instrumental,"drums,strings",2010s
song7,Sample Song 7,Classical,"romantic,sad",medium,instrumental,"drums,piano,strings",2000s
song8,Sample Song 8,Hip-hop,romantic,fast,instrumental,guitar,2000s
song9,Sample Song 9,Jazz,"romantic,happy",fast,female solo,"strings,piano",2020s
song10,Sample Song 10,Rock,happy,medium,duet,piano,1990s
song11,Sample Song 11,Classical,"romantic,sad",slow,male solo,"guitar,synth,orchestral",2000s
song12,Sample Song 12,Classical,chill,fast,duet,"guitar,strings,orchestral",2010s
song13,Sample Song 13,Hip-hop,dark,medium,male solo,"synth,strings,guitar",2010s
song14,Sample Song 14,Ballad,"sad,chill",slow,female solo,"drums,synth",2000s
song15,Sample Song 15,Hip-hop,"sad,energetic",medium,instrumental,"synth,orchestral,strings",1980s
song16,Sample Song 16,Ballad,energetic,medium,female solo,"piano,synth,orchestral",1990s
song17,Sample Song 17,Rock,energetic,slow,duet,"guitar,synth",2010s
song18,Sample Song 18,Pop,"energetic,happy",medium,male solo,"piano,drums",2020s
song19,Sample Song 19,Hip-hop,"energetic,chill",medium,instrumental,"guitar,orchestral",2000s
song20,Sample Song 20,Rock,sad,medium,male solo,"strings,drums",2010s
song21,Sample Song 21,Jazz,romantic,slow,duet,"synth,drums,strings",2010s
song22,Sample Song 22,Jazz,chill,fast,duet,orchestral,1980s
song23,Sample Song 23,Hip-hop,"chill,romantic",fast,duet,"piano,drums,guitar",2010s
song24,Sample Song 24,EDM,"energetic,dark",medium,male solo,synth,1990s
song25,Sample Song 25,Rock,"chill,energetic",slow,male solo,drums,1990s
song26,Sample Song 26,Ballad,"energetic,chill",slow,male solo,guitar,2000s
song27,Sample Song 27,EDM,romantic,slow,female solo,"strings,orchestral",2020s
song28,Sample Song 28,Rock,chill,medium,duet,"orchestral,synth",2000s
song29,Sample Song 29,Classical,"sad,dark",fast,duet,"orchestral,piano,drums",2020s
song30,Sample Song 30,EDM,"dark,happy",fast,duet,orchestral,2020s
song31,Sample Song 31,Ballad,chill,slow,male solo,"synth,guitar,strings",1980s
song32,Sample Song 32,Hip-hop,"chill,energetic",slow,duet,"guitar,piano",1980s
song33,Sample Song 33,Hip-hop,sad,medium,female solo,"synth,drums,orchestral",2020s
song34,Sample Song 34,EDM,"sad,happy",fast,instrumental,"drums,synth",2020s
